,Date,CRWD,DDOG,SNOW,SOFI,UPST,^GSPC
228,2018-10-29,0.0,0.0,0.0,0.0,0.0,2641.25
229,2018-10-30,0.0,0.0,0.0,0.0,0.0,2682.6298828125
230,2018-10-31,0.0,0.0,0.0,0.0,0.0,2711.739990234375
231,2018-11-01,0.0,0.0,0.0,0.0,0.0,2740.3701171875
232,2018-11-02,0.0,0.0,0.0,0.0,0.0,2723.06005859375
233,2018-11-05,0.0,0.0,0.0,0.0,0.0,2738.31005859375
234,2018-11-06,0.0,0.0,0.0,0.0,0.0,2755.449951171875
235,2018-11-07,0.0,0.0,0.0,0.0,0.0,2813.889892578125
236,2018-11-08,0.0,0.0,0.0,0.0,0.0,2806.830078125
237,2018-11-09,0.0,0.0,0.0,0.0,0.0,2781.010009765625
238,2018-11-12,0.0,0.0,0.0,0.0,0.0,2726.219970703125
239,2018-11-13,0.0,0.0,0.0,0.0,0.0,2722.179931640625
240,2018-11-14,0.0,0.0,0.0,0.0,0.0,2701.580078125
241,2018-11-15,0.0,0.0,0.0,0.0,0.0,2730.199951171875
242,2018-11-16,0.0,0.0,0.0,0.0,0.0,2736.27001953125
243,2018-11-19,0.0,0.0,0.0,0.0,0.0,2690.72998046875
244,2018-11-20,0.0,0.0,0.0,0.0,0.0,2641.889892578125
245,2018-11-21,0.0,0.0,0.0,0.0,0.0,2649.929931640625
246,2018-11-23,0.0,0.0,0.0,0.0,0.0,2632.56005859375
247,2018-11-26,0.0,0.0,0.0,0.0,0.0,2673.449951171875
248,2018-11-27,0.0,0.0,0.0,0.0,0.0,2682.169921875
249,2018-11-28,0.0,0.0,0.0,0.0,0.0,2743.7900390625
250,2018-11-29,0.0,0.0,0.0,0.0,0.0,2737.800048828125
251,2018-11-30,0.0,0.0,0.0,0.0,0.0,2760.169921875
252,2018-12-03,0.0,0.0,0.0,0.0,0.0,2790.3701171875
253,2018-12-04,0.0,0.0,0.0,0.0,0.0,2700.06005859375
254,2018-12-06,0.0,0.0,0.0,0.0,0.0,2695.949951171875
255,2018-12-07,0.0,0.0,0.0,0.0,0.0,2633.080078125
256,2018-12-10,0.0,0.0,0.0,0.0,0.0,2637.719970703125
257,2018-12-11,0.0,0.0,0.0,0.0,0.0,2636.780029296875
258,2018-12-12,0.0,0.0,0.0,0.0,0.0,2651.070068359375
259,2018-12-13,0.0,0.0,0.0,0.0,0.0,2650.5400390625
260,2018-12-14,0.0,0.0,0.0,0.0,0.0,2599.949951171875
